date,code,language,url,pages,articles,edits,images,users,activeusers,admins,jobs
2026-07-15,my,မြန်မာဘာသာ,https://my.wikipedia.org,271546,111255,1042855,2936,142349,313,4,0
2026-07-15,myv,эрзянь,https://myv.wikipedia.org,31952,7870,154578,0,15137,16,2,0
2026-07-15,mzn,مازِرونی,https://mzn.wikipedia.org,165092,64696,390007,432,45857,50,4,0
2026-07-15,nah,Nāhuatl,https://nah.wikipedia.org,12196,4074,525877,168,24696,16,2,0
2026-07-15,nan,閩南語 / Bân-lâm-gí,https://zh-min-nan.wikipedia.org,1079220,434309,3281568,292,74350,90,3,0
2026-07-15,nap,Napulitano,https://nap.wikipedia.org,24240,14964,671924,288,34834,33,3,0
2026-07-15,nds,Plattdüütsch,https://nds.wikipedia.org,187391,85908,1069796,0,62529,54,3,0
2026-07-15,nds-nl,Nedersaksies,https://nds-nl.wikipedia.org,22029,8106,332366,561,36100,33,6,0
2026-07-15,ne,नेपाली,https://ne.wikipedia.org,114593,29922,1358899,1486,78732,141,5,0
2026-07-15,new,नेपाल भाषा,https://new.wikipedia.org,269597,74240,1120846,0,31226,23,2,0
2026-07-15,nia,Li Niha,https://nia.wikipedia.org,4497,1778,27541,0,2898,7,2,0
2026-07-15,nl,Nederlands,https://nl.wikipedia.org,4789173,2223122,71401007,20,1588724,7388,33,0
2026-07-15,nn,norsk nynorsk,https://nn.wikipedia.org,401249,178118,3652776,10,155521,147,14,0
2026-07-15,no,norsk,https://no.wikipedia.org,1890914,686452,25808420,4,720799,1556,35,0
2026-07-15,nov,Novial,https://nov.wikipedia.org,5170,2070,181451,0,13698,18,2,0
2026-07-15,nqo,ߒߞߏ,https://nqo.wikipedia.org,3486,1617,12904,0,6039,16,1,0
2026-07-15,nr,isiNdebele seSewula,https://nr.wikipedia.org,1042,327,6511,0,1613,11,0,0
2026-07-15,nrm,Nouormand,https://nrm.wikipedia.org,10695,5060,221198,0,15526,10,1,0
2026-07-15,nso,Sesotho sa Leboa,https://nso.wikipedia.org,11938,8943,55174,0,8578,20,1,0
2026-07-15,nup,Nupe,https://nup.wikipedia.org,1666,953,21193,0,1290,29,2,0
2026-07-15,nv,Diné bizaad,https://nv.wikipedia.org,36574,22667,308917,736,21041,19,2,0
2026-07-15,ny,Chi-Chewa,https://ny.wikipedia.org,5441,1123,48531,0,12866,16,2,0
2026-07-15,oc,occitan,https://oc.wikipedia.org,167281,90809,2491792,306,64085,138,3,0
2026-07-15,olo,livvinkarjala,https://olo.wikipedia.org,15074,5017,41939,0,8739,23,2,0
2026-07-15,om,Oromoo,https://om.wikipedia.org,5368,1969,45707,0,14104,23,1,0
2026-07-15,or,ଓଡ଼ିଆ,https://or.wikipedia.org,87791,20960,588126,170,41940,67,4,0
2026-07-15,os,ирон,https://os.wikipedia.org,77709,21755,593792,149,28227,25,3,0
2026-07-15,pa,ਪੰਜਾਬੀ,https://pa.wikipedia.org,193088,59620,840797,1868,59632,137,10,0
2026-07-15,pag,Pangasinan,https://pag.wikipedia.org,6890,2653,79791,0,10039,18,1,0
2026-07-15,pam,Kapampangan,https://pam.wikipedia.org,23407,10221,311889,394,24926,21,2,0
2026-07-15,pap,Papiamentu,https://pap.wikipedia.org,11403,5577,197066,0,18434,26,5,0
2026-07-15,pcd,Picard,https://pcd.wikipedia.org,12188,6122,79519,51,21972,27,2,0
2026-07-15,pcm,Naijá,https://pcm.wikipedia.org,2902,1604,31722,0,3823,20,4,0
2026-07-15,pdc,Deitsch,https://pdc.wikipedia.org,5862,2030,107720,0,39608,21,1,0
2026-07-15,pfl,Pälzisch,https://pfl.wikipedia.org,7115,2865,93431,0,14120,15,4,0
2026-07-15,pi,पालि,https://pi.wikipedia.org,1828,302,103502,1,8569,9,1,0
2026-07-15,pl,polski,https://pl.wikipedia.org,4049437,1701528,79980875,265,1587016,9250,95,0
2026-07-15,pms,Piemontèis,https://pms.wikipedia.org,104142,71541,884566,1810,31935,29,4,0
2026-07-15,pnb,پنجابی,https://pnb.wikipedia.org,146416,75611,705744,31,44349,57,2,0
2026-07-15,pnt,Ποντιακά,https://pnt.wikipedia.org,2601,665,37566,0,12692,16,1,0
2026-07-15,ppl,Nawat,https://ppl.wikipedia.org,1306,254,9874,0,703,13,1,0
