wikimedia_language_code,bcp47_tag,bcp47_primary_language,iso_639_1,iso_639_2_bibliographic,iso_639_2_terminologic,iso_639_3,iso_scope,iso_language_type,iso_reference_name,mapping_type,mapping_confidence,mapping_note,language_name_english,language_name_native,wikipedia_url,api_url,analytics_project,database_name,site_name,status,is_active,is_closed,article_count,total_pages,total_edits,registered_users,active_users,administrators,files_local,pageviews_30_days,pageviews_365_days,pageviews_30_start,pageviews_30_end,pageviews_365_start,pageviews_365_end,date_established,date_established_source,statistics_retrieved_at_utc,pageviews_retrieved_at_utc,connector_error
wuu,wuu,wuu,,,,wuu,I,L,Wu Chinese,direct_iso_639_3,high,,吴语,Wu,https://wuu.wikipedia.org,https://wuu.wikipedia.org/w/api.php,wuu.wikipedia,wuuwiki,维基百科,active,True,False,48286,75453,397119,240489,80,4,6,1815239,19358708,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:30:03.226565+00:00,2026-07-19T08:30:03.226565+00:00,
ig,ig,ig,ig,ibo,ibo,ibo,I,L,Igbo,iso_registry_crosswalk,high,,Igbo,Igbo,https://ig.wikipedia.org,https://ig.wikipedia.org/w/api.php,ig.wikipedia,igwiki,Wikipedia,active,True,False,48052,66414,435798,39257,142,5,0,529176,11109953,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:32.345379+00:00,2026-07-19T08:26:32.345379+00:00,
diq,diq,diq,,,,diq,I,L,Dimli (individual language),direct_iso_639_3,high,,Zazaki,Dimli,https://diq.wikipedia.org,https://diq.wikipedia.org/w/api.php,diq.wikipedia,diqwiki,Wikipedia,active,True,False,42708,64348,554480,34149,35,3,193,315084,8360599,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:02.730077+00:00,2026-07-19T08:26:02.730077+00:00,
yo,yo,yo,yo,yor,yor,yor,I,L,Yoruba,iso_registry_crosswalk,high,,Yorùbá,Yoruba,https://yo.wikipedia.org,https://yo.wikipedia.org/w/api.php,yo.wikipedia,yowiki,Wikipedia,active,True,False,38328,63495,623039,34286,87,4,160,200091,3879653,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:30:05.658570+00:00,2026-07-19T08:30:05.658570+00:00,
ban,ban,ban,,ban,ban,ban,I,L,Balinese,direct_iso_639_3,high,,Basa Bali,Balinese,https://ban.wikipedia.org,https://ban.wikipedia.org/w/api.php,ban.wikipedia,banwiki,Wikipédia,active,True,False,38298,78644,264480,102615,93,4,141,302221,6359334,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:41.172410+00:00,2026-07-19T08:25:41.172410+00:00,
kn,kn,kn,kn,kan,kan,kan,I,L,Kannada,iso_registry_crosswalk,high,,ಕನ್ನಡ,Kannada,https://kn.wikipedia.org,https://kn.wikipedia.org/w/api.php,kn.wikipedia,knwiki,ವಿಕಿಪೀಡಿಯ,active,True,False,35219,160315,1371805,98540,235,4,2358,1402812,25077465,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:13.885062+00:00,2026-07-19T08:27:13.885062+00:00,
sco,sco,sco,,sco,sco,sco,I,L,Scots,direct_iso_639_3,high,,Scots,Scots,https://sco.wikipedia.org,https://sco.wikipedia.org/w/api.php,sco.wikipedia,scowiki,Wikipedia,active,True,False,34225,138534,912126,133289,106,3,416,3196894,24513183,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:29:02.782670+00:00,2026-07-19T08:29:02.782670+00:00,
gsw,gsw,gsw,,gsw,gsw,gsw,I,L,Swiss German,direct_iso_639_3,high,,Alemannisch,Alemannic,https://als.wikipedia.org,https://als.wikipedia.org/w/api.php,als.wikipedia,alswiki,Wikipedia,active,True,False,31732,75333,1083712,120516,109,7,603,566454,10495455,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:21.583464+00:00,2026-07-19T08:26:21.583464+00:00,
gu,gu,gu,gu,guj,guj,guj,I,L,Gujarati,iso_registry_crosswalk,high,,ગુજરાતી,Gujarati,https://gu.wikipedia.org,https://gu.wikipedia.org/w/api.php,gu.wikipedia,guwiki,વિકિપીડિયા,active,True,False,30859,136352,900962,86391,93,3,0,651460,11318474,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:22.066558+00:00,2026-07-19T08:26:22.066558+00:00,
ia,ia,ia,ia,ina,ina,ina,I,C,Interlingua (IALA),iso_registry_crosswalk,high,,interlingua,Interlingua,https://ia.wikipedia.org,https://ia.wikipedia.org/w/api.php,ia.wikipedia,iawiki,Wikipedia,active,True,False,30476,46656,693978,59990,36,6,4,233406,11425027,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:30.403854+00:00,2026-07-19T08:26:30.403854+00:00,
